OS,Description,Value,Scope,Scope Path
windows,Detected by SentinelOne Cloud,fa194429bd39ab99062f5c5e7fbac09bc7b58f38,tenant,Global
windows,Detected by SentinelOne Cloud,8a4693b8ad011389424832e23a63b067aff07cf2,tenant,Global
windows,Detected by SentinelOne Cloud,3b6a0b5fa4d86ac4bcbffa5cdfdde1fb91aabfa7,tenant,Global
windows,Detected by SentinelOne Cloud,2015812298b9695fc455c8c62cae3c453ca6b28a,tenant,Global
windows,Detected by SentinelOne Cloud,ac263a65cb773a678c19826da656a10568edee0a,tenant,Global
windows,Detected by SentinelOne Cloud,3922ccc2793d4436b4fb4b108d527ef15a87ef0f,tenant,Global
windows,Detected by SentinelOne Cloud,865167e36f199de48e003abecfd3b6895285a95f,tenant,Global
windows,Detected by SentinelOne Cloud,343f6e7af57af22f46ed9881f5c794cf3769af3b,tenant,Global
windows,Detected by SentinelOne Cloud,1a4494f6b3d7ed67c83ac856abaf6f3d254b8d48,tenant,Global
windows,Detected by SentinelOne Cloud,0b867e27997c78a2a5d475c26467f8a8e9d8e768,tenant,Global
windows,Detected by SentinelOne Cloud,e00b7a277a54ddb32731812a3d52c6aad08245d9,tenant,Global
windows,Detected by SentinelOne Cloud,838973ad741b646308c9ab581e4ddb8d886891e3,tenant,Global
windows,Detected by SentinelOne Cloud,7b194d727e3c926b2c269ac57078ad16ddb4e168,tenant,Global
windows,Detected by SentinelOne Cloud,ee924906513eaac5bc211a41983c9869b8d7df33,tenant,Global
windows,Detected by SentinelOne Cloud,dbd8d8ad4dcab0331ffd7df613ebbb5ece6369f0,tenant,Global
windows,Detected by SentinelOne Cloud,e66a6b73184f503cb81a02cab1f79baec1836b4c,tenant,Global
windows,Detected by SentinelOne Cloud,ee7242b40de0494c22a8eb7b3eb45825e4fdf60b,tenant,Global
windows,Detected by SentinelOne Cloud,fa4344da941b9bd0035e059abc6abd8069eef386,tenant,Global
windows,Detected by SentinelOne Cloud,9a95e106f3fe0c2f4c57c73d1ac0534bc04a27d6,tenant,Global
windows,Detected by SentinelOne Cloud,9ccf21e4ba5bb30aa699d884faf4ff7178df9585,tenant,Global
windows,Detected by SentinelOne Cloud,dd428d72a33266f958a2430f6d65f9558fd8b12b,tenant,Global
windows,Detected by SentinelOne Cloud,2cc11d1f7ac47714f5c9342ea1554244cfaeb83e,tenant,Global
windows,Detected by SentinelOne Cloud,435a14ca268db928c91aa3d9df86de90244f2b05,tenant,Global
windows,Detected by SentinelOne Cloud,d004f55f25d224133114ae12db6bc7c16c95b3e9,tenant,Global
windows,Detected by SentinelOne Cloud,4aa13342bad8dd71a1f93277a60d21752a2b5e4c,tenant,Global
windows,Detected by SentinelOne Cloud,0fbbc6a0dabeab4e3f4d874876146e00ce6f0933,tenant,Global
windows,Detected by SentinelOne Cloud,5642fa43a0011d24f480368ab053a9068cabdaf6,tenant,Global
windows,Detected by SentinelOne Cloud,ecf191d9e84e6f5452679ad4c4a701836980e1b6,tenant,Global
windows,Detected by SentinelOne Cloud,88a0a9e247c00b2a34cb0fbea673212e6070e8bf,tenant,Global
windows,Detected by SentinelOne Cloud,f6e23684f40cc3d65732ec0d027e7eefa535f346,tenant,Global
windows,Detected by SentinelOne Cloud,cd5e7eaf9fcffbf61a18f1052e9ff39c680d1aa0,tenant,Global
windows,Detected by SentinelOne Cloud,6bab86831ea6d1dca9b5f0bdf0e3023ae4f74c5c,tenant,Global
osx,Detected by SentinelOne Cloud,8481892bd3a171842f0f46a552a11adec4609111,tenant,Global
osx,Detected by SentinelOne Cloud,63c9506d704ee873a75abe18163122fcfe114cc5,tenant,Global
windows,Detected by SentinelOne Cloud,d94b868afbae5bc56bece716ac27276b676963b7,tenant,Global
osx,Detected by SentinelOne Cloud,1f22744799d3d13e851cb1dedf4cbb1b28eda695,tenant,Global
windows,Detected by SentinelOne Cloud,86b73156397714defedb2c1740c3f167d392df2f,tenant,Global
windows,Detected by SentinelOne Cloud,efd44d1b91b965c0b9424a491866c09d1ceba09c,tenant,Global
windows,Detected by SentinelOne Cloud,3b035da6c69f9b05868ffe55d7a267d098c6f290,tenant,Global
windows,Detected by SentinelOne Cloud,07af803fd8151c36f31e2651d53ce986ae3c3102,tenant,Global
windows,Detected by SentinelOne Cloud,31db8630fbe6cb6ee67f23aa7805804063dae0df,tenant,Global
